Nombre;Autor;Precio;Genero;Puntuacion;Edad;Imagen
"GRECOMANIA;EMMA GIULIANI,CAROLE SATURNO;29;Lectura;7;13;https://imagessl9.casadellibro.com/a/l/t5/79/9788417708979.jpg"
"GRECOMANIA;EMMA GIULIANI,CAROLE SATURNO;29;Lectura;7;14;https://imagessl9.casadellibro.com/a/l/t5/79/9788417708979.jpg"
"ATLAS DEL MUNDO. EDICIÓN PÚRPURA;MEKSANDRA MIZIELINSKA , DANIEL MIZIELINSKI;39;Otros;6;12;https://imagessl2.casadellibro.com/a/l/t5/32/9788417708832.jpg"
"ATLAS DEL MUNDO. EDICIÓN PÚRPURA;MEKSANDRA MIZIELINSKA , DANIEL MIZIELINSKI;39;Otros;6;13;https://imagessl2.casadellibro.com/a/l/t5/32/9788417708832.jpg"
"ATLAS DEL MUNDO. EDICIÓN PÚRPURA;MEKSANDRA MIZIELINSKA , DANIEL MIZIELINSKI;39;Otros;6;14;https://imagessl2.casadellibro.com/a/l/t5/32/9788417708832.jpg"
"ATLAS DEL MUNDO. EDICIÓN PÚRPURA;MEKSANDRA MIZIELINSKA , DANIEL MIZIELINSKI;39;Otros;6;11;https://imagessl2.casadellibro.com/a/l/t5/32/9788417708832.jpg"
DIARIOS CRUZADOS 2:JUNTOS PERO NO REVUELTOS;MARIA MAÑERU;24;Lectura;8;11;https://imagessl9.casadellibro.com/a/l/t5/19/9788467771619.jpg
DIARIOS CRUZADOS 2:JUNTOS PERO NO REVUELTOS;MARIA MAÑERU;24;Lectura;8;12;https://imagessl9.casadellibro.com/a/l/t5/19/9788467771619.jpg
DIARIOS CRUZADOS 2:JUNTOS PERO NO REVUELTOS;MARIA MAÑERU;24;Lectura;8;13;https://imagessl9.casadellibro.com/a/l/t5/19/9788467771619.jpg
DIARIOS CRUZADOS 2:JUNTOS PERO NO REVUELTOS;MARIA MAÑERU;24;Lectura;8;14;https://imagessl9.casadellibro.com/a/l/t5/19/9788467771619.jpg
PATRIA;FERNANDO ARAMBURU;26;Lectura;8;11;https://imagessl4.casadellibro.com/a/l/t5/44/9788490668344.jpg
PATRIA;FERNANDO ARAMBURU;26;Lectura;8;12;https://imagessl4.casadellibro.com/a/l/t5/44/9788490668344.jpg
PATRIA;FERNANDO ARAMBURU;26;Lectura;8;13;https://imagessl4.casadellibro.com/a/l/t5/44/9788490668344.jpg
PATRIA;FERNANDO ARAMBURU;26;Lectura;8;14;https://imagessl4.casadellibro.com/a/l/t5/44/9788490668344.jpg
"SI NOS ENSEÑARAN A PERDER, GANARÍAMOS SIEMPRE;ALBERT ESPINOSA;28;Lectura;9;11;https://imagessl8.casadellibro.com/a/l/t5/58/9788425358258.jpg"
"SI NOS ENSEÑARAN A PERDER, GANARÍAMOS SIEMPRE;ALBERT ESPINOSA;28;Lectura;9;12;https://imagessl8.casadellibro.com/a/l/t5/58/9788425358258.jpg"
"SI NOS ENSEÑARAN A PERDER, GANARÍAMOS SIEMPRE;ALBERT ESPINOSA;28;Lectura;9;13;https://imagessl8.casadellibro.com/a/l/t5/58/9788425358258.jpg"
"SI NOS ENSEÑARAN A PERDER, GANARÍAMOS SIEMPRE;ALBERT ESPINOSA;28;Lectura;9;14;https://imagessl8.casadellibro.com/a/l/t5/58/9788425358258.jpg"
